vendorID,datetime,locationID,car_type
2,2017-01-01 00:10:04,130,green
2,2017-01-01 00:10:05,41,green
2,2017-01-01 00:10:06,87,green
2,2017-01-01 00:10:07,66,green
2,2017-01-01 00:10:08,18,green
2,2017-01-01 00:10:09,61,green
1,2017-01-01 00:10:11,7,green
2,2017-01-01 00:10:11,42,green
2,2017-01-01 00:10:11,181,green
2,2017-01-01 00:10:11,49,green
2,2017-01-01 00:10:12,83,green
1,2017-01-01 00:10:12,256,green
2,2017-01-01 00:10:14,75,green
2,2017-01-01 00:10:15,25,green
2,2017-01-01 00:10:17,129,green
2,2017-01-01 00:10:17,61,green
2,2017-01-01 00:10:18,95,green
2,2017-01-01 00:10:19,112,green
1,2017-01-01 00:10:20,198,green
1,2017-01-01 00:10:21,129,green
2,2017-01-01 00:10:21,106,green
2,2017-01-01 00:10:22,181,green
1,2017-01-01 00:10:22,25,green
1,2017-01-01 00:10:23,17,green
2,2017-01-01 00:10:25,145,green
2,2017-01-01 00:10:25,42,green
2,2017-01-01 00:10:25,42,green
1,2017-01-01 00:10:25,255,green
2,2017-01-01 00:10:25,61,green
2,2017-01-01 00:10:26,42,green
2,2017-01-01 00:10:26,83,green
2,2017-01-01 00:10:26,243,green
2,2017-01-01 00:10:27,82,green
2,2017-01-01 00:10:27,80,green
1,2017-01-01 00:10:28,41,green
2,2017-01-01 00:10:31,42,green
2,2017-01-01 00:10:32,69,green
2,2017-01-01 00:10:32,89,green
2,2017-01-01 00:10:33,41,green
2,2017-01-01 00:10:33,25,green
1,2017-01-01 00:10:34,181,green
2,2017-01-01 00:10:36,41,green
2,2017-01-01 00:10:37,66,green
1,2017-01-01 00:10:37,152,green
2,2017-01-01 00:10:37,181,green
2,2017-01-01 00:10:37,41,green
2,2017-01-01 00:10:40,41,green
1,2017-01-01 00:10:42,80,green
2,2017-01-01 00:10:42,82,green
2,2017-01-01 00:10:42,80,green
2,2017-01-01 00:10:43,238,green
2,2017-01-01 00:10:43,215,green
2,2017-01-01 00:10:44,255,green
2,2017-01-01 00:10:46,7,green
2,2017-01-01 00:10:46,82,green
2,2017-01-01 00:10:47,66,green
2,2017-01-01 00:10:48,225,green
1,2017-01-01 00:10:48,129,green
2,2017-01-01 00:10:49,33,green
2,2017-01-01 00:10:49,255,green
2,2017-01-01 00:10:49,255,green
2,2017-01-01 00:10:51,7,green
2,2017-01-01 00:10:52,160,green
2,2017-01-01 00:10:53,240,green
2,2017-01-01 00:10:54,33,green
2,2017-01-01 00:10:54,255,green
2,2017-01-01 00:10:55,95,green
2,2017-01-01 00:10:56,179,green
2,2017-01-01 00:10:57,112,green
1,2017-01-01 00:10:59,255,green
1,2017-01-01 00:11:00,129,green
2,2017-01-01 00:11:01,255,green
2,2017-01-01 00:11:01,71,green
2,2017-01-01 00:11:03,97,green
2,2017-01-01 00:11:03,60,green
1,2017-01-01 00:11:05,166,green
1,2017-01-01 00:11:05,42,green
2,2017-01-01 00:11:05,256,green
2,2017-01-01 00:11:05,166,green
2,2017-01-01 00:11:05,217,green
2,2017-01-01 00:11:06,42,green
2,2017-01-01 00:11:07,260,green
2,2017-01-01 00:11:07,25,green
2,2017-01-01 00:11:07,36,green
2,2017-01-01 00:11:07,116,green
2,2017-01-01 00:11:07,41,green
2,2017-01-01 00:11:08,65,green
2,2017-01-01 00:11:08,17,green
2,2017-01-01 00:11:09,258,green
2,2017-01-01 00:11:09,97,green
2,2017-01-01 00:11:11,49,green
1,2017-01-01 00:11:12,189,green
2,2017-01-01 00:11:13,260,green
2,2017-01-01 00:11:13,216,green
2,2017-01-01 00:11:13,42,green
2,2017-01-01 00:11:14,181,green
2,2017-01-01 00:11:14,112,green
2,2017-01-01 00:11:15,70,green
2,2017-01-01 00:11:16,181,green
2,2017-01-01 00:11:17,181,green
2,2017-01-01 00:11:17,7,green
2,2017-01-01 00:11:18,181,green
1,2017-01-01 00:11:19,80,green
2,2017-01-01 00:11:20,61,green
2,2017-01-01 00:11:20,152,green
2,2017-01-01 00:11:21,74,green
1,2017-01-01 00:11:22,42,green
1,2017-01-01 00:11:23,41,green
2,2017-01-01 00:11:23,190,green
2,2017-01-01 00:11:25,17,green
2,2017-01-01 00:11:28,244,green
2,2017-01-01 00:11:29,181,green
2,2017-01-01 00:11:29,25,green
2,2017-01-01 00:11:29,42,green
1,2017-01-01 00:11:29,256,green
2,2017-01-01 00:11:29,75,green
2,2017-01-01 00:11:30,260,green
1,2017-01-01 00:11:30,112,green
1,2017-01-01 00:11:32,197,green
2,2017-01-01 00:11:34,190,green
1,2017-01-01 00:11:34,256,green
2,2017-01-01 00:11:34,256,green
2,2017-01-01 00:11:36,42,green
2,2017-01-01 00:11:36,17,green
2,2017-01-01 00:11:37,112,green
2,2017-01-01 00:11:40,255,green
2,2017-01-01 00:11:40,223,green
2,2017-01-01 00:11:40,190,green
2,2017-01-01 00:11:42,255,green
2,2017-01-01 00:11:42,250,green
1,2017-01-01 00:11:43,97,green
2,2017-01-01 00:11:44,97,green
2,2017-01-01 00:11:44,181,green
2,2017-01-01 00:11:45,82,green
2,2017-01-01 00:11:46,75,green
1,2017-01-01 00:11:47,18,green
2,2017-01-01 00:11:47,173,green
2,2017-01-01 00:11:48,41,green
1,2017-01-01 00:11:48,94,green
2,2017-01-01 00:11:48,223,green
1,2017-01-01 00:11:48,255,green
2,2017-01-01 00:11:49,116,green
1,2017-01-01 00:11:49,65,green
2,2017-01-01 00:11:49,152,green
2,2017-01-01 00:11:50,258,green
2,2017-01-01 00:11:51,49,green
2,2017-01-01 00:11:52,173,green
2,2017-01-01 00:11:53,41,green
2,2017-01-01 00:11:53,116,green
1,2017-01-01 00:11:54,42,green
2,2017-01-01 00:11:54,33,green
2,2017-01-01 00:11:54,159,green
2,2017-01-01 00:11:56,25,green
2,2017-01-01 00:11:57,37,green
2,2017-01-01 00:11:58,33,green
1,2017-01-01 00:11:59,33,green
1,2017-01-01 00:11:59,256,green
2,2017-01-01 00:12:00,97,green
2,2017-01-01 00:12:02,41,green
2,2017-01-01 00:12:02,41,green
2,2017-01-01 00:12:02,41,green
2,2017-01-01 00:12:02,173,green
2,2017-01-01 00:12:04,42,green
1,2017-01-01 00:12:04,255,green
2,2017-01-01 00:12:04,53,green
2,2017-01-01 00:12:06,256,green
1,2017-01-01 00:12:06,25,green
2,2017-01-01 00:12:06,256,green
2,2017-01-01 00:12:07,61,green
2,2017-01-01 00:12:08,36,green
2,2017-01-01 00:12:09,181,green
2,2017-01-01 00:12:09,112,green
2,2017-01-01 00:12:10,146,green
1,2017-01-01 00:12:10,129,green
2,2017-01-01 00:12:13,61,green
1,2017-01-01 00:12:14,116,green
1,2017-01-01 00:12:14,56,green
2,2017-01-01 00:12:14,36,green
2,2017-01-01 00:12:15,189,green
2,2017-01-01 00:12:18,75,green
2,2017-01-01 00:12:18,159,green
2,2017-01-01 00:12:19,255,green
2,2017-01-01 00:12:20,188,green
1,2017-01-01 00:12:20,127,green
2,2017-01-01 00:12:21,223,green
2,2017-01-01 00:12:22,181,green
2,2017-01-01 00:12:23,83,green
2,2017-01-01 00:12:24,41,green
2,2017-01-01 00:12:25,146,green
2,2017-01-01 00:12:25,7,green
2,2017-01-01 00:12:26,216,green
2,2017-01-01 00:12:26,255,green
1,2017-01-01 00:12:27,97,green
2,2017-01-01 00:12:27,33,green
1,2017-01-01 00:12:28,83,green
2,2017-01-01 00:12:29,41,green
2,2017-01-01 00:12:30,82,green
1,2017-01-01 00:12:30,85,green
2,2017-01-01 00:12:30,95,green
2,2017-01-01 00:12:31,42,green
1,2017-01-01 00:12:34,121,green
2,2017-01-01 00:12:35,61,green
1,2017-01-01 00:12:36,74,green
2,2017-01-01 00:12:36,25,green
2,2017-01-01 00:12:37,10,green
2,2017-01-01 00:12:37,181,green
1,2017-01-01 00:12:37,36,green
2,2017-01-01 00:12:38,17,green
2,2017-01-01 00:12:38,42,green
2,2017-01-01 00:12:38,97,green
2,2017-01-01 00:12:40,145,green
2,2017-01-01 00:12:40,49,green
2,2017-01-01 00:12:41,82,green
2,2017-01-01 00:12:41,256,green
1,2017-01-01 00:12:41,225,green
2,2017-01-01 00:12:42,226,green
2,2017-01-01 00:12:42,226,green
2,2017-01-01 00:12:43,255,green
2,2017-01-01 00:12:44,95,green
2,2017-01-01 00:12:44,7,green
2,2017-01-01 00:12:44,197,green
2,2017-01-01 00:12:45,89,green
1,2017-01-01 00:12:45,80,green
2,2017-01-01 00:12:47,7,green
2,2017-01-01 00:12:47,82,green
2,2017-01-01 00:12:47,255,green
2,2017-01-01 00:12:47,190,green
2,2017-01-01 00:12:47,255,green
2,2017-01-01 00:12:48,223,green
2,2017-01-01 00:12:48,75,green
2,2017-01-01 00:12:49,37,green
2,2017-01-01 00:12:50,188,green
1,2017-01-01 00:12:50,112,green
2,2017-01-01 00:12:50,42,green
2,2017-01-01 00:12:51,181,green
2,2017-01-01 00:12:51,25,green
2,2017-01-01 00:12:53,112,green
2,2017-01-01 00:12:53,52,green
1,2017-01-01 00:12:54,255,green
2,2017-01-01 00:12:55,75,green
1,2017-01-01 00:12:55,256,green
1,2017-01-01 00:12:55,190,green
2,2017-01-01 00:12:55,70,green
2,2017-01-01 00:12:56,7,green
1,2017-01-01 00:12:56,119,green
2,2017-01-01 00:12:57,181,green
2,2017-01-01 00:12:57,33,green
2,2017-01-01 00:12:58,244,green
1,2017-01-01 00:12:58,238,green
1,2017-01-01 00:12:58,71,green
2,2017-01-01 00:13:01,181,green
