datetime,locationID,car_type
2017-01-01 01:27:22,82,taxi
2017-01-01 01:27:22,223,taxi
2017-01-01 01:27:23,41,taxi
2017-01-01 01:27:23,74,taxi
2017-01-01 01:27:23,256,taxi
2017-01-01 01:27:27,134,taxi
2017-01-01 01:27:27,70,taxi
2017-01-01 01:27:28,65,taxi
2017-01-01 01:27:32,112,taxi
2017-01-01 01:27:33,95,taxi
2017-01-01 01:27:33,260,taxi
2017-01-01 01:27:35,256,taxi
2017-01-01 01:27:35,36,taxi
2017-01-01 01:27:36,189,taxi
2017-01-01 01:27:36,157,taxi
2017-01-01 01:27:36,223,taxi
2017-01-01 01:27:38,41,taxi
2017-01-01 01:27:38,97,taxi
2017-01-01 01:27:38,41,taxi
2017-01-01 01:27:41,62,taxi
2017-01-01 01:27:41,95,taxi
2017-01-01 01:27:41,57,taxi
2017-01-01 01:27:46,225,taxi
2017-01-01 01:27:47,25,taxi
2017-01-01 01:27:47,61,taxi
2017-01-01 01:27:47,181,taxi
2017-01-01 01:27:50,17,taxi
2017-01-01 01:27:52,145,taxi
2017-01-01 01:27:53,129,taxi
2017-01-01 01:27:53,66,taxi
2017-01-01 01:27:53,36,taxi
2017-01-01 01:27:54,74,taxi
2017-01-01 01:27:55,25,taxi
2017-01-01 01:27:55,146,taxi
2017-01-01 01:27:56,181,taxi
2017-01-01 01:27:57,36,taxi
2017-01-01 01:27:57,146,taxi
2017-01-01 01:27:57,61,taxi
2017-01-01 01:27:59,36,taxi
2017-01-01 01:28:00,116,taxi
2017-01-01 01:28:03,7,taxi
2017-01-01 01:28:03,134,taxi
2017-01-01 01:28:06,61,taxi
2017-01-01 01:28:06,7,taxi
2017-01-01 01:28:06,243,taxi
2017-01-01 01:28:06,244,taxi
2017-01-01 01:28:06,166,taxi
2017-01-01 01:28:07,40,taxi
2017-01-01 01:28:10,181,taxi
2017-01-01 01:28:11,244,taxi
2017-01-01 01:28:13,95,taxi
2017-01-01 01:28:13,41,taxi
2017-01-01 01:28:16,65,taxi
2017-01-01 01:28:16,112,taxi
2017-01-01 01:28:18,116,taxi
2017-01-01 01:28:18,181,taxi
2017-01-01 01:28:20,228,taxi
2017-01-01 01:28:22,17,taxi
2017-01-01 01:28:23,42,taxi
2017-01-01 01:28:24,112,taxi
2017-01-01 01:28:25,129,taxi
2017-01-01 01:28:25,37,taxi
2017-01-01 01:28:25,49,taxi
2017-01-01 01:28:26,166,taxi
2017-01-01 01:28:28,198,taxi
2017-01-01 01:28:29,181,taxi
2017-01-01 01:28:29,129,taxi
2017-01-01 01:28:30,25,taxi
2017-01-01 01:28:30,42,taxi
2017-01-01 01:28:30,256,taxi
2017-01-01 01:28:31,241,taxi
2017-01-01 01:28:32,255,taxi
2017-01-01 01:28:32,97,taxi
2017-01-01 01:28:32,112,taxi
