LocationID,Borough,Zone,service_zone,lat,lon,"lat,lon",lat_6,lon_6,geohash_6
85,Brooklyn,Erasmus,Boro Zone,40.64978,-73.949465,"(40.64978, -73.949465)",40.65,-74.0,dr5rm0
86,Queens,Far Rockaway,Boro Zone,40.605382500000005,-73.75513259999998,"(40.6053825, -73.7551326)",40.6,-73.8,dr5wcx
87,Manhattan,Financial District North,Yellow Zone,40.758896,-73.98513,"(40.758896, -73.98513)",40.76,-74.0,dr5ru7
88,Manhattan,Financial District South,Yellow Zone,40.758896,-73.98513,"(40.758896, -73.98513)",40.76,-74.0,dr5ru7
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,40.637530700000006,-73.96344876323309,"(40.6375307, -73.9634487632331)",40.64,-74.0,dr5rhv
90,Manhattan,Flatiron,Yellow Zone,40.741086100000004,-73.9896298241625,"(40.7410861, -73.9896298241625)",40.74,-74.0,dr5ru2
91,Brooklyn,Flatlands,Boro Zone,40.621215500000005,-73.9348597,"(40.6212155, -73.9348597)",40.62,-73.9,dr5rjd
92,Queens,Flushing,Boro Zone,40.7654301,-73.8174291,"(40.7654301, -73.8174291)",40.77,-73.8,dr5xbj
93,Queens,Flushing Meadows-Corona Park,Boro Zone,40.74077035,-73.8433777142299,"(40.74077035, -73.8433777142299)",40.74,-73.8,dr5rz8
94,Bronx,Fordham South,Boro Zone,40.8592667,-73.8984694,"(40.8592667, -73.8984694)",40.86,-73.9,dr72qq
95,Queens,Forest Hills,Boro Zone,36.5805701,-82.1231338,"(36.5805701, -82.1231338)",36.58,-82.1,dnt855
96,Queens,Forest Park/Highland Park,Boro Zone,40.68755555,-73.88774024570709,"(40.68755555, -73.8877402457071)",40.69,-73.9,dr5rqw
97,Brooklyn,Fort Greene,Boro Zone,40.69092305,-73.9743583848668,"(40.69092305, -73.9743583848668)",40.69,-74.0,dr5rkx
98,Queens,Fresh Meadows,Boro Zone,40.73613835,-73.7800882817176,"(40.73613835, -73.7800882817176)",40.73,-73.8,dr5x9p
99,Staten Island,Freshkills Park,Boro Zone,40.5791894,-74.17992554500479,"(40.5791894, -74.1799255450048)",40.58,-74.2,dr5nzg
100,Manhattan,Garment District,Yellow Zone,40.7547,-73.9916,"(40.7547, -73.9916)",40.76,-74.0,dr5ru7
101,Queens,Glen Oaks,Boro Zone,40.7470463,-73.7115199,"(40.7470463, -73.7115199)",40.75,-73.7,dr5xf9
102,Queens,Glendale,Boro Zone,40.7014917,-73.8868028,"(40.7014917, -73.8868028)",40.7,-73.9,dr5rw9
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,40.698583500000005,-74.04201803673091,"(40.6985835, -74.0420180367309)",40.7,-74.0,dr5re0
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,40.698583500000005,-74.04201803673091,"(40.6985835, -74.0420180367309)",40.7,-74.0,dr5re0
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,40.698583500000005,-74.04201803673091,"(40.6985835, -74.0420180367309)",40.7,-74.0,dr5re0
